cdsID	uniprot	u_ev	spur	s_ev	cel	cel_ev	dmel	dmel_ev
lcl|NW_011934528.1_cds_XP_019926840.1_21	sp|Q6P799|SYSC_RAT	0	XP_793542.2	0	C47E12.1	0	FBgn0031497	9.27e-140
lcl|NW_011934530.1_cds_XP_011443863.1_22	sp|P06868|PLMN_BOVIN	1.91e-33	XP_030850384.1	4.63e-29	NA	NA	NA	NA
lcl|NW_011934530.1_cds_XP_011441541.1_23	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934530.1_cds_XP_011440784.1_24	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934530.1_cds_XP_011440004.1_25	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934530.1_cds_XP_011442712.1_26	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934533.1_cds_XP_011445037.1_27	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934533.1_cds_XP_019929118.1_28	sp|Q6ZPT1|KLHL9_MOUSE	1.63e-120	XP_030843144.1	2.83e-105	R12E2.1	2.42e-64	NA	NA
lcl|NW_011934533.1_cds_XP_011446188.1_29	sp|Q6ZPT1|KLHL9_MOUSE	1.63e-120	XP_030843144.1	2.83e-105	R12E2.1	2.42e-64	NA	NA
lcl|NW_011934533.1_cds_XP_011446961.1_30	sp|Q6ZPT1|KLHL9_MOUSE	1.63e-120	XP_030843144.1	2.83e-105	R12E2.1	2.42e-64	NA	NA
lcl|NW_011934533.1_cds_XP_011447717.1_31	sp|Q6ZPT1|KLHL9_MOUSE	1.63e-120	XP_030843144.1	2.83e-105	R12E2.1	2.42e-64	NA	NA
lcl|NW_011934533.1_cds_XP_011448856.1_32	sp|Q9BWU0|NADAP_HUMAN	9.11e-105	XP_030834480.1	1.65e-110	ZK632.2	4.41e-62	NA	NA
lcl|NW_011934533.1_cds_XP_011449976.1_33	sp|P29691|EF2_CAEEL	0	XP_030833135.1	0	F25H5.4a	0	FBgn0000559	2.41e-130
lcl|NW_011934534.1_cds_XP_019918116.1_34	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934534.1_cds_XP_011452277.1_35	sp|A5GFZ5|DPM1_PIG	1.47e-149	XP_793909.2	6.69e-147	Y66H1A.2a	5.12e-109	NA	NA
lcl|NW_011934534.1_cds_XP_011453429.1_36	sp|Q92636|FAN_HUMAN	0	XP_030840515.1	0	F10F2.1b	9.59e-85	NA	NA
lcl|NW_011934535.1_cds_XP_019918435.1_37	sp|P08991|H2AV_STRPU	3.46e-22	NP_001116980.1	4.04e-23	NA	NA	NA	NA
lcl|NW_011934539.1_cds_XP_011454605.1_38	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934539.1_cds_XP_011455746.1_39	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934539.1_cds_XP_011456875.1_40	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934540.1_cds_XP_011413371.1_41	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934540.1_cds_XP_011412598.1_42	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934541.1_cds_XP_011414532.1_43	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011415683.1_44	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011416832.1_45	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011417607.1_46	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011418338.1_47	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_019921778.1_48	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011419503.1_49	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934542.1_cds_XP_011420267.1_50	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934544.1_cds_XP_011421983.1_51	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934545.1_cds_XP_019921936.1_52	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934547.1_cds_XP_011423879.2_53	sp|Q9I8C7|ACH10_CHICK	2.5e-29	XP_011674151.1	3.67e-28	F27B3.2d	2.2e-26	NA	NA
lcl|NW_011934548.1_cds_XP_011424376.1_54	sp|Q8CFK2|TF3B_MOUSE	0	XP_030854474.1	6.45e-154	F45E12.2a	9.16e-122	NA	NA
lcl|NW_011934548.1_cds_XP_019922042.1_55	sp|Q8CFK2|TF3B_MOUSE	0	XP_030854474.1	5.2e-154	F45E12.2a	7.42e-122	NA	NA
lcl|NW_011934548.1_cds_XP_011424190.1_56	sp|P58545|BTBD3_MOUSE	0	XP_030854339.1	0	F38H4.7	1.02e-112	NA	NA
lcl|NW_011934548.1_cds_XP_011424499.1_57	sp|O46606|DDHD1_BOVIN	4.5e-165	XP_030855314.1	0	M03A1.6b	6.23e-88	NA	NA
lcl|NW_011934548.1_cds_XP_011424582.1_58	sp|O46606|DDHD1_BOVIN	8.7e-157	XP_030855314.1	0	M03A1.6a	5.24e-88	NA	NA
lcl|NW_011934551.1_cds_XP_011424700.1_59	sp|Q02763|TIE2_HUMAN	2.24e-43	XP_030833172.1	6.08e-43	Y48G1C.2a	2.27e-39	NA	NA
lcl|NW_011934552.1_cds_XP_011424819.2_60	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934552.1_cds_XP_019922226.1_61	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934553.1_cds_XP_011424940.1_62	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934555.1_cds_XP_019922319.1_63	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934555.1_cds_XP_019922343.1_64	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934555.1_cds_XP_011425356.1_65	sp|P18091|ACTN_DROME	0	XP_003728056.1	0	W04D2.1b	0	FBgn0000667	3.15e-85
lcl|NW_011934555.1_cds_XP_011425276.1_66	sp|L7UZ85|ACTN_DERFA	0	XP_003728056.1	0	W04D2.1b	0	FBgn0000667	3.15e-85
lcl|NW_011934555.1_cds_XP_011425467.2_67	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934556.1_cds_XP_011425650.1_68	sp|Q96MM6|HS12B_HUMAN	3.98e-39	XP_011671541.2	8.8e-34	NA	NA	NA	NA
lcl|NW_011934557.1_cds_XP_011425759.1_69	sp|P62489|RPB7_RAT	3.4e-104	XP_001175504.1	1.54e-107	Y54E10BR.6	2.63e-90	FBgn0051155	5.1e-36
lcl|NW_011934557.1_cds_XP_011425871.1_70	sp|Q60803|TRAF3_MOUSE	5.75e-147	XP_030854618.1	3.97e-91	F45G2.6	1.97e-23	NA	NA
lcl|NW_011934557.1_cds_NP_001292274.1_71	sp|P62864|RS30_RAT	8.16e-21	XP_783271.3	7.46e-46	C26F1.4	8.55e-28	FBgn0038834	5.37e-28
lcl|NW_011934558.1_cds_XP_011426724.1_72	sp|O75376|NCOR1_HUMAN	1.87e-89	XP_030846947.1	1.98e-147	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_019922849.1_73	sp|O75376|NCOR1_HUMAN	1.04e-91	XP_030846947.1	1.19e-149	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426580.1_74	sp|O75376|NCOR1_HUMAN	7.59e-95	XP_030846947.1	1.95e-153	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426427.1_75	sp|O75376|NCOR1_HUMAN	6.25e-93	XP_030846947.1	1.25e-151	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426504.1_76	sp|O75376|NCOR1_HUMAN	2.36e-91	XP_030846947.1	5.36e-149	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426352.1_77	sp|O75376|NCOR1_HUMAN	2.54e-86	XP_030846947.1	2.17e-143	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426269.1_78	sp|O75376|NCOR1_HUMAN	4.17e-89	XP_030846947.1	2.48e-144	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426189.1_79	sp|O75376|NCOR1_HUMAN	1.98e-89	XP_030846947.1	3.95e-147	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426653.1_80	sp|O75376|NCOR1_HUMAN	1.9e-89	XP_030846947.1	3.38e-147	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426109.1_81	sp|O75376|NCOR1_HUMAN	1.99e-89	XP_030846947.1	3.96e-147	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426803.1_82	sp|O75376|NCOR1_HUMAN	9.43e-90	XP_030846947.1	2.5e-147	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011426919.1_83	sp|O77622|TCPZ_RABIT	0	XP_030831108.1	0	F01F1.8a	0	FBgn0027329	1.26e-106
lcl|NW_011934558.1_cds_XP_011427038.1_84	sp|P16435|NCPR_HUMAN	0	XP_030848141.1	0	K10D2.6	0	NA	NA
lcl|NW_011934558.1_cds_XP_011427121.1_85	sp|P16435|NCPR_HUMAN	0	XP_030848141.1	0	K10D2.6	0	NA	NA
lcl|NW_011934558.1_cds_XP_011427226.1_86	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011427331.1_87	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934558.1_cds_XP_011427533.1_88	sp|Q58DH2|PISD_BOVIN	4.93e-99	XP_030847302.1	1.99e-110	B0361.5b	4.11e-61	FBgn0026576	3.02e-24
lcl|NW_011934558.1_cds_XP_011427448.1_89	sp|Q58DH2|PISD_BOVIN	7.45e-99	XP_798408.4	7.61e-109	B0361.5b	1.5e-59	FBgn0026576	3.2e-24
lcl|NW_011934558.1_cds_XP_011427644.1_90	sp|Q5REG1|SART3_PONAB	2.42e-167	XP_030848096.1	1.16e-178	B0035.12	1.13e-48	NA	NA
lcl|NW_011934559.1_cds_XP_019923095.1_91	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934559.1_cds_XP_011428340.1_92	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934559.1_cds_XP_019923135.1_93	sp|P22105|TENX_HUMAN	1.25e-33	XP_003725730.1	6.13e-32	Y64G10A.7d	1.58e-28	NA	NA
lcl|NW_011934559.1_cds_XP_011428035.1_94	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934559.1_cds_XP_011427840.2_95	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_011429536.2_96	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_011429656.1_97	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_019923281.1_98	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_019923504.1_99	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_011429143.1_100	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_011429213.1_101	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934560.1_cds_XP_011429403.1_102	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934562.1_cds_XP_019923557.1_103	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934563.1_cds_XP_011430079.1_104	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934564.1_cds_XP_011430446.2_105	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934567.1_cds_XP_011430784.1_106	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431095.1_107	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10c	0	NA	NA
lcl|NW_011934567.1_cds_XP_011430687.1_108	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10c	0	NA	NA
lcl|NW_011934567.1_cds_XP_011430939.1_109	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_011430863.1_110	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431912.1_111	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10c	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431167.1_112	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_019923816.1_113	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10b	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431018.1_114	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10b	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431250.1_115	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10d	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431328.1_116	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10d	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431679.1_117	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10d	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431755.1_118	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10d	0	NA	NA
lcl|NW_011934567.1_cds_XP_019923966.1_119	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_019923983.1_120	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_011431488.1_121	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838218.1	0	H06H21.10e	0	NA	NA
lcl|NW_011934567.1_cds_XP_019924112.1_122	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838219.1	0	H06H21.10c	0	NA	NA
lcl|NW_011934567.1_cds_XP_019924127.1_123	sp|Q9Y2G3|AT11B_HUMAN	0	XP_030838215.1	0	H06H21.10d	0	NA	NA
lcl|NW_011934567.1_cds_XP_019924160.1_124	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934567.1_cds_XP_019924184.1_125	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934567.1_cds_XP_019924205.1_126	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934570.1_cds_XP_011432341.1_127	sp|O95714|HERC2_HUMAN	1.55e-46	XP_030836150.1	1.03e-51	NA	NA	NA	NA
lcl|NW_011934573.1_cds_XP_011432726.1_128	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934573.1_cds_XP_011432841.1_129	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934573.1_cds_XP_011432915.1_130	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934574.1_cds_XP_011433046.1_131	sp|P28494|MA2A1_RAT	0	XP_030828372.1	0	F58H1.1	9.69e-142	NA	NA
lcl|NW_011934574.1_cds_XP_011433124.1_132	sp|P28494|MA2A1_RAT	0	XP_030828372.1	0	F58H1.1	9.69e-142	NA	NA
lcl|NW_011934574.1_cds_XP_011433197.1_133	sp|P28494|MA2A1_RAT	0	XP_030828372.1	0	F58H1.1	9.69e-142	NA	NA
lcl|NW_011934574.1_cds_XP_011433280.1_134	sp|P28494|MA2A1_RAT	0	XP_030828372.1	0	F58H1.1	9.69e-142	NA	NA
lcl|NW_011934574.1_cds_XP_019924487.1_135	sp|P54278|PMS2_HUMAN	1.81e-158	XP_786592.4	4.6e-156	H12C20.2	4.85e-88	NA	NA
lcl|NW_011934575.1_cds_XP_011433837.1_136	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934575.1_cds_XP_011433497.1_137	sp|H9BW96|RAB7_EPICO	1.86e-133	NP_001116983.1	3.19e-132	W03C9.3	1.33e-111	FBgn0015795	2.47e-28
lcl|NW_011934575.1_cds_XP_011433606.1_138	sp|Q5D013|EFMT2_DANRE	4.97e-70	NA	NA	F29B9.1	1.55e-39	NA	NA
lcl|NW_011934575.1_cds_XP_011433717.1_139	sp|Q9NZB2|F120A_HUMAN	5.74e-93	XP_030827912.1	3.6e-89	NA	NA	NA	NA
lcl|NW_011934577.1_cds_XP_011434218.1_140	sp|Q31125|S39A7_MOUSE	1.97e-58	XP_030853279.1	1.79e-65	H13N06.5	8.72e-57	FBgn0002022	5.62e-25
lcl|NW_011934577.1_cds_XP_011434021.2_141	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	2.19e-171	C01G6.8c	5.23e-77	NA	NA
lcl|NW_011934577.1_cds_XP_011434104.2_142	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	1.32e-174	C01G6.8c	4.83e-77	NA	NA
lcl|NW_011934577.1_cds_XP_011433944.2_143	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	6.58e-172	C01G6.8c	6.29e-77	NA	NA
lcl|NW_011934579.1_cds_XP_011434803.1_144	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934579.1_cds_XP_019924823.1_145	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934579.1_cds_XP_019924842.1_146	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934579.1_cds_XP_019924866.1_147	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934579.1_cds_XP_019924888.1_148	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934579.1_cds_XP_011434727.1_149	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934580.1_cds_XP_011435352.2_150	sp|Q562C7|PUM3_RAT	6.79e-126	XP_030851927.1	9.92e-137	ZK945.3	1.48e-78	NA	NA
lcl|NW_011934580.1_cds_XP_011435621.1_151	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934580.1_cds_XP_019925254.1_152	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934580.1_cds_XP_019925218.1_153	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934583.1_cds_XP_011436462.1_154	sp|P23606|TGM1_RAT	3.16e-154	NP_001154909.1	1.54e-148	NA	NA	NA	NA
lcl|NW_011934583.1_cds_XP_011436542.1_155	sp|P23606|TGM1_RAT	3.16e-154	NP_001154909.1	1.54e-148	NA	NA	NA	NA
lcl|NW_011934583.1_cds_XP_011436311.1_156	sp|P23606|TGM1_RAT	2.02e-154	NP_001154909.1	2.66e-148	NA	NA	NA	NA
lcl|NW_011934583.1_cds_XP_011436650.2_157	sp|Q568R1|NSRP1_DANRE	8.01e-24	NA	NA	NA	NA	NA	NA
lcl|NW_011934584.1_cds_XP_011436768.1_158	sp|O43174|CP26A_HUMAN	6.75e-123	XP_001199776.1	3.02e-99	T19B10.1	9.1e-26	NA	NA
lcl|NW_011934584.1_cds_XP_019925445.1_159	sp|O43174|CP26A_HUMAN	1.15e-85	XP_001199776.1	1.54e-68	T19B10.1	1.25e-26	NA	NA
lcl|NW_011934584.1_cds_XP_011436953.1_160	sp|P04113|MLRA_MIZYE	5.08e-72	XP_783666.1	2.6e-51	C56G7.1	3.92e-47	NA	NA
lcl|NW_011934585.1_cds_XP_019925471.1_161	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_019925506.1_162	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_011437737.1_163	sp|B0BN95|HARB1_RAT	1.39e-25	XP_030835630.1	7.61e-36	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_019925595.1_164	NA	NA	XP_030832152.1	2.02e-28	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_011437859.1_165	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_011437425.1_166	sp|O73853|CP17A_ICTPU	1.6e-46	XP_011681945.2	6.61e-60	Y49C4A.9	1.76e-24	NA	NA
lcl|NW_011934586.1_cds_XP_011437543.1_167	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_011437612.1_168	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934586.1_cds_XP_011437975.1_169	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011441394.1_170	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_019925845.1_171	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011441502.1_172	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011438099.1_173	sp|P30050|RL12_HUMAN	4.88e-84	XP_030848610.1	2.43e-82	JC8.3a	5.04e-83	NA	NA
lcl|NW_011934589.1_cds_XP_011438219.1_174	sp|Q5ZHN4|XRP2_CHICK	5.67e-131	XP_797121.2	2.07e-102	K08D12.2	4.66e-42	NA	NA
lcl|NW_011934589.1_cds_XP_011438296.1_175	sp|Q5ZHN4|XRP2_CHICK	8.13e-125	XP_797121.2	1.87e-96	K08D12.2	8.58e-35	NA	NA
lcl|NW_011934589.1_cds_XP_011438404.1_176	sp|Q9BTT6|LRRC1_HUMAN	3.92e-41	XP_030852809.1	4.62e-42	F26D11.11a	1.81e-40	NA	NA
lcl|NW_011934589.1_cds_XP_011438518.1_177	sp|Q9QXL2|KI21A_MOUSE	7.13e-24	XP_030849429.1	9.68e-23	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011438979.1_178	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	1.08e-167	FBgn0032243	2.16e-46
lcl|NW_011934589.1_cds_XP_011439050.1_179	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	7.77e-168	FBgn0032243	2.15e-46
lcl|NW_011934589.1_cds_XP_011439663.1_180	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	7.03e-168	FBgn0032243	2.1e-46
lcl|NW_011934589.1_cds_XP_011439739.1_181	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	6.7e-168	FBgn0032243	2.09e-46
lcl|NW_011934589.1_cds_XP_011439278.1_182	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	1.01e-167	FBgn0032243	2.13e-46
lcl|NW_011934589.1_cds_XP_011439365.1_183	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	1.29e-167	FBgn0032243	2.13e-46
lcl|NW_011934589.1_cds_XP_011439443.1_184	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	9.19e-168	FBgn0032243	2.13e-46
lcl|NW_011934589.1_cds_XP_011439135.1_185	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	1.04e-167	FBgn0032243	2.14e-46
lcl|NW_011934589.1_cds_XP_011439208.1_186	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	9.33e-168	FBgn0032243	2.14e-46
lcl|NW_011934589.1_cds_XP_011439514.1_187	sp|Q9QXL2|KI21A_MOUSE	0	XP_030849429.1	0	T01G1.1e	1.28e-167	FBgn0032243	2.12e-46
lcl|NW_011934589.1_cds_XP_019926284.1_188	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011438781.1_189	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011438854.1_190	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011440091.1_191	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011441618.1_192	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011440204.1_193	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011440322.1_194	NA	NA	NA	NA	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011440509.1_195	sp|Q5ZEQ8|FJX1_XIPMA	9.39e-33	XP_781605.3	1.2e-46	NA	NA	NA	NA
lcl|NW_011934589.1_cds_XP_011440625.1_196	sp|Q5RBM1|RPN2_PONAB	1.7e-133	XP_011669063.1	0	M01A10.3	6.56e-49	NA	NA
